"date","beach","ecoli","status","rain","DOY"
2014-07-07,"PEB",10,"swim",FALSE,2019-07-07
2014-07-07,"PRB",39,"no swim",TRUE,2019-07-07
2014-07-07,"WBO",18,"swim",FALSE,2019-07-07
2014-07-08,"BRT",13,"swim",FALSE,2019-07-08
2014-07-08,"MNY",24,"no swim",TRUE,2019-07-08
2014-07-08,"PEB",14,"no swim",TRUE,2019-07-08
2014-07-08,"PRB",157,"no swim",TRUE,2019-07-08
2014-07-08,"WBO",20,"no swim",TRUE,2019-07-08
2014-07-09,"BRT",36,"swim",FALSE,2019-07-09
2014-07-09,"MNY",1000,"no swim",FALSE,2019-07-09
2014-07-09,"PEB",38,"swim",FALSE,2019-07-09
2014-07-09,"PRB",604,"no swim",FALSE,2019-07-09
2014-07-09,"WBO",151,"swim",FALSE,2019-07-09
2014-07-10,"BRT",30,"swim",FALSE,2019-07-10
2014-07-10,"MNY",31,"swim",FALSE,2019-07-10
2014-07-10,"PEB",182,"swim",FALSE,2019-07-10
2014-07-10,"PRB",242,"no swim",FALSE,2019-07-10
2014-07-10,"WBO",45,"swim",FALSE,2019-07-10
2014-07-11,"BRT",16,"swim",FALSE,2019-07-11
2014-07-11,"MNY",19,"swim",FALSE,2019-07-11
2014-07-11,"PEB",32,"swim",FALSE,2019-07-11
2014-07-11,"PRB",59,"swim",FALSE,2019-07-11
2014-07-11,"WBO",22,"swim",FALSE,2019-07-11
2014-07-12,"BRT",12,"swim",FALSE,2019-07-12
2014-07-12,"MNY",24,"swim",FALSE,2019-07-12
2014-07-12,"PEB",16,"swim",FALSE,2019-07-12
2014-07-12,"PRB",29,"swim",FALSE,2019-07-12
2014-07-12,"WBO",15,"swim",FALSE,2019-07-12
2014-07-13,"BRT",10,"swim",FALSE,2019-07-13
2014-07-13,"MNY",31,"no swim",TRUE,2019-07-13
2014-07-13,"PEB",10,"no swim",TRUE,2019-07-13
2014-07-13,"PRB",25,"no swim",TRUE,2019-07-13
2014-07-13,"WBO",16,"no swim",TRUE,2019-07-13
2014-07-14,"BRT",22,"swim",FALSE,2019-07-14
2014-07-14,"MNY",262,"no swim",FALSE,2019-07-14
2014-07-14,"PEB",11,"swim",FALSE,2019-07-14
2014-07-14,"PRB",215,"no swim",FALSE,2019-07-14
2014-07-14,"WBO",18,"swim",FALSE,2019-07-14
2014-07-15,"BRT",18,"swim",FALSE,2019-07-15
2014-07-15,"MNY",18,"swim",FALSE,2019-07-15
2014-07-15,"PEB",18,"swim",FALSE,2019-07-15
2014-07-15,"PRB",81,"swim",FALSE,2019-07-15
2014-07-15,"WBO",17,"swim",FALSE,2019-07-15
2014-07-16,"BRT",10,"swim",FALSE,2019-07-16
2014-07-16,"MNY",79,"swim",FALSE,2019-07-16
2014-07-16,"PEB",17,"swim",FALSE,2019-07-16
2014-07-16,"PRB",40,"swim",FALSE,2019-07-16
2014-07-16,"WBO",19,"swim",FALSE,2019-07-16
2014-07-17,"BRT",18,"swim",FALSE,2019-07-17
2014-07-17,"MNY",22,"swim",FALSE,2019-07-17
2014-07-17,"PEB",14,"swim",FALSE,2019-07-17
2014-07-17,"PRB",22,"swim",FALSE,2019-07-17
2014-07-17,"WBO",52,"swim",FALSE,2019-07-17
2014-07-18,"BRT",13,"swim",FALSE,2019-07-18
2014-07-18,"MNY",54,"swim",FALSE,2019-07-18
2014-07-18,"PEB",15,"swim",FALSE,2019-07-18
2014-07-18,"PRB",18,"swim",FALSE,2019-07-18
2014-07-18,"WBO",25,"swim",FALSE,2019-07-18
2014-07-19,"BRT",10,"swim",FALSE,2019-07-19
2014-07-19,"MNY",17,"swim",FALSE,2019-07-19
2014-07-19,"PEB",26,"swim",FALSE,2019-07-19
2014-07-19,"PRB",37,"swim",FALSE,2019-07-19
2014-07-19,"WBO",36,"swim",FALSE,2019-07-19
2014-07-20,"BRT",24,"swim",FALSE,2019-07-20
2014-07-20,"MNY",10,"swim",FALSE,2019-07-20
2014-07-20,"PEB",22,"swim",FALSE,2019-07-20
2014-07-20,"PRB",23,"swim",FALSE,2019-07-20
2014-07-20,"WBO",23,"swim",FALSE,2019-07-20
2014-07-21,"BRT",29,"swim",FALSE,2019-07-21
2014-07-21,"MNY",27,"swim",FALSE,2019-07-21
2014-07-21,"PEB",36,"swim",FALSE,2019-07-21
2014-07-21,"PRB",27,"swim",FALSE,2019-07-21
2014-07-21,"WBO",29,"swim",FALSE,2019-07-21
2014-07-22,"BRT",11,"swim",FALSE,2019-07-22
2014-07-22,"MNY",33,"swim",FALSE,2019-07-22
2014-07-22,"PEB",29,"swim",FALSE,2019-07-22
2014-07-22,"PRB",16,"swim",FALSE,2019-07-22
2014-07-22,"WBO",10,"swim",FALSE,2019-07-22
2014-07-23,"BRT",15,"swim",FALSE,2019-07-23
2014-07-23,"MNY",118,"swim",FALSE,2019-07-23
2014-07-23,"PEB",11,"swim",FALSE,2019-07-23
2014-07-23,"PRB",21,"swim",FALSE,2019-07-23
2014-07-23,"WBO",33,"swim",FALSE,2019-07-23
2014-07-24,"BRT",17,"swim",FALSE,2019-07-24
2014-07-24,"MNY",33,"swim",FALSE,2019-07-24
2014-07-24,"PEB",10,"swim",FALSE,2019-07-24
2014-07-24,"PRB",20,"swim",FALSE,2019-07-24
2014-07-24,"WBO",11,"swim",FALSE,2019-07-24
2014-07-25,"BRT",10,"swim",FALSE,2019-07-25
2014-07-25,"MNY",26,"swim",FALSE,2019-07-25
2014-07-25,"PEB",10,"swim",FALSE,2019-07-25
2014-07-25,"PRB",27,"swim",FALSE,2019-07-25
2014-07-25,"WBO",21,"swim",FALSE,2019-07-25
2014-07-26,"BRT",18,"swim",FALSE,2019-07-26
2014-07-26,"MNY",27,"swim",FALSE,2019-07-26
2014-07-26,"PEB",11,"swim",FALSE,2019-07-26
2014-07-26,"PRB",37,"swim",FALSE,2019-07-26
2014-07-26,"WBO",11,"swim",FALSE,2019-07-26
